id,first_name,last_name
5109,Charles (I),Barton
5143,Hal,Barwood
5187,Marianne,Basler
5326,Luigi,Batzella
5461,John (I),Baxter
5464,Rick,Baxter
5538,Richard W.,Bean
5582,Jean,Beaudin
5585,William,Beaudine
5597,Gabrielle,Beaumont
5598,Harry,Beaumont
5603,Peter,Beauvais
5656,Walter,Beck
5668,Jacques,Becker
5690,James,Becket
5798,Michael,Behagen
5799,Andrew,Behar
5876,Timur,Bekmambetov
6189,Ross,Bengel
6219,Iván,Benjumea
6220,Andrei,Benkendorf
6222,Artemio,Benki
6258,Geoff (II),Bennett
6422,Vladimir,Berenstein
6423,Bruce,Beresford
6446,Torbjörn (II),Berg
6505,Ole,Berggreen
6627,Joe,Berlinger
6650,Zev,Berman
6692,Jean,Bernard-Derosne
6700,Peter,Bernardos
6709,Edward,Bernds
6728,Frederic,Bernheim D'Acosta
6742,Adam (I),Bernstein
6795,Peter (I),Berry
6822,Arthur,Berthelet
6874,William,Bertram
6890,Wayne,Berwick
6960,Gil,Bettman
6967,Kris,Betz
7014,Nico,Beyer
7050,Haricharan,Bhanja
7129,Indra,Bhose
7155,Giorgio,Bianchi
7181,Robert,Bibal
7231,Fabián,Bielinsky
7257,J.J.,Bigas Luna
7259,Kathryn,Bigelow
7323,Pierre (I),Billon
7331,Bruce (II),Bilson
7363,Maurits,Binger
7399,Lance,Bird
7580,Gregory Allen,Black
7618,J. Stuart,Blackton
7632,Linda,Blagg
7661,Gilles,Blais
7665,Roger,Blais
7801,Alberto Carles,Blat
7855,Marcel,Blistène
7899,Pierre,Blondy
7919,George,Bloomfield
7931,Paul,Blouin
7981,Don,Bluth
7987,John G.,Blystone
7994,Armando,Bo
8008,Joyce,Boaz
8123,Budd,Boetticher
8157,Francis,Boggs
8198,Richard,Bohringer
8213,Michel,Boisrond
8217,Yves,Boisset
8224,Ulla,Boje Rasmussen
8275,Icíar,Bollaín
8303,Guy,Bolte
8450,René,Bonnière
8475,Válter J.,Bonásio
8541,Carlos,Borcosque Jr.
8542,Carlos F.,Borcosque
8559,Bernard,Borderie
8583,Claude,Borenzweig
8637,Ole,Bornedal
8700,Eduard,Bosch
8727,Satyen,Bose
8757,Patrick,Bossard
8765,Patrick,Bosso
8769,Elisabeta,Bostan
8779,Hobart,Bosworth
8867,Jim,Boukis
9050,Antony J.,Bowman
9181,Charles,Brabin
9201,Robert N.,Bradbury
9221,Peter (IV),Bradley
9237,Jordan,Brady
9314,Steve (I),Brand
9544,Félix,Breisach
9586,Herbert,Brenon
9618,Howard,Bretherton
9744,Burt,Brinckerhoff
9894,Henry,Bromell
9932,Van Dyke,Brooke
9958,James L.,Brooks
9993,Eric,Bross
10000,Gunnel,Broström
10092,Harry Joe,Brown
10113,Larry G. (I),Brown
10124,Melville W.,Brown
10161,Tom E.,Brown
10249,Valentina,Brumberg
10250,Zinaida,Brumberg
10303,Willy,Brunner
10325,Giovanni,Brusadori
10355,Bruce,Bryant
10360,Jeff (IV),Bryant
10382,Tatjana,Brzakovic
10494,Harold S.,Bucquet
10527,Kenean,Buel
10550,Erna,Buffie
10594,Veljko,Bulajic
10660,Aleksandr,Buravsky
10684,Shannon,Burgan
10776,Charles,Burnett
10818,Tim (VI),Burns
10846,Geoff,Burrowes
10863,Tim,Burstall
10880,Humphrey,Burton
11011,Robert (I),Butler
11017,Yvan,Butler
11041,Jörg,Buttgereit
11047,Tamás,Buvári
11070,Luis,Buñuel
11250,Christy,Cabanne
11281,John (II),Cabrera
11297,Michael,Cacoyannis
11340,Eliane,Caffé
11388,Bruce,Caines
11618,Ernesto,Camara
11652,James (I),Cameron
11656,Josh,Cameron
11684,Paul,Cammermans
11698,Roy,Campanella II
11718,Caley,Campbell
11720,Colin (IV),Campbell
11733,Ivar,Campbell
11794,Fernando (I),Campos
11841,Alex Monty,Canawati
11903,Robert (I),Cannon
11933,Roger,Cantin
11945,Pablo,Cantos
12025,Frank,Capra
12035,Antonio (I),Capuano
12110,René,Cardona III
12111,René,Cardona Jr.
12114,René,Cardona
12148,Edwin,Carewe
12154,Harry,Carey
12208,Robert (I),Carlisle
12377,Thomas (I),Carr
12576,D.J.,Caruso
12589,Aloisio T. de,Carvalho
12718,Richard L.,Cassell
12772,Franco (I),Castellano
12826,William,Castle
12867,Víctor Manuel,Castro
12915,Catrano,Catrani
12970,Jason,Cavalier
12992,Pierre,Cavassilas
12994,Fred,Cavayé
13017,André,Cayatte
13067,Ralph,Ceder
13114,Bahrudin 'Bato',Cengic
13171,Mark,Cerulli
13185,Pascual,Cervera
13233,Claude,Chabrol
13245,C. Adolpho,Chadler
13331,Everett,Chambers
13418,Otto,Chan
13443,Maninder,Chana
13453,Koyalee,Chanda
13493,Cheh,Chang
13563,Christopher (I),Chapman
13720,Louis,Chaudet
13736,Pascal,Chauveau
13774,Jeremiah S.,Chechik
13779,Braz,Chediak
13826,Edmond,Chen
13876,Ying,Chen
13969,Lionel,Chetwynd
13996,Siu Hung,Cheung
14208,Jirí,Chlumský
14245,Hun,Choi
14247,In-hyeon,Choi
14322,Cynthia,Choucair
14400,T.C.,Christensen
14432,Al,Christie
14539,Peter,Chung
14566,Jaime,Chávarri
14580,Dominic,Cianciolo
14667,Icaro,Cisneros
14679,Liviu,Ciulei
14734,Alfred (I),Clark
14775,Larry (I),Clark
14860,Bob,Claver
14861,Juan Carlos,Claver
14869,William F.,Claxton
14906,Tom,Clegg
14928,Roy (II),Clements
14954,Edward F.,Cline
14974,Robert,Clouse
14980,Henri-Georges,Clouzot
15122,Benoît,Cohen
15131,David (VIII),Cohen
15156,Larry (I),Cohen
15231,Harley,Cokeliss
15250,Martha,Colburn
15307,Charles C.,Coleman
15342,Joaquín,Coll Espona
15345,Richard A.,Colla
15346,Rolando,Colla
15369,Eric (I),Colley
15416,Lewis D.,Collins
15424,Rocky (I),Collins
15438,Peter,Collinson
15488,Mario,Colucci
15532,Lance,Comfort
15554,John,Comparelli
15565,Sophie,Comtet
15583,Richard,Condie
15610,Andy,Conlan
15644,Mike (IV),Connolly
15707,F.H.,Constantino
15738,Francesco,Conversano
15792,Alan (I),Cooke
15840,George A. (I),Cooper
15900,Eleanor,Coppola
15915,Frank,Coraci
16010,David L.,Corley
16014,Roger,Corman
16057,Alfonso,Corona Blake
16094,Jair,Correia
16099,Michael,Corrente
16148,Eduard,Cortés
16149,Fernando,Cortés
16222,Mario (I),Costa
16229,Ricardo (I),Costa
16288,Vittorio,Cottafavi
16388,Glauco,Couto
16389,J. Michael,Couto
16409,Émile,Couzinet
16506,Arthur,Crabtree
16541,Ronnie,Cramer
16555,Frank Hall,Crane
16619,Lol,Creme
16654,Alfredo B.,Crevenna
16696,Giuseppe (II),Cristiano
16702,Dean,Criswell
16712,Stanko,Crnobrnja
16736,Emma-Kate,Croghan
16738,Hugh,Croise
16775,Alan (I),Crosland
16798,Andrew,Crossan
16884,James,Cruze
16890,Dominique,Crèvecoeur
16948,Michael,Cuesta
16958,Robert,Cuffley
16967,George,Cukor
16989,Webster,Cullison
17017,Irving,Cummings
17026,Samuel,Cummins
17086,Giandomenico,Curi
17103,Peter,Curran
17122,Richard,Curson Smith
17128,Allen,Curtis
17225,Margit,Czenki
17241,Frantisek,Cáp
17544,Zale,Dalen
17653,Mel,Damski
17734,Jean-Daniel,Daninos
17766,Fernand,Dansereau
17776,Joe (I),Dante
17830,Attila,Dargay
17910,Narayana Rao,Dasari
17958,John,Daumery
18042,Boaz,Davidson
18077,Howard (I),Davies
18110,Arthur (I),Davis
18139,Desmond (I),Davis
18234,Tito,Davison
18313,Bruno,de Almeida
18336,Emile,de Antonio
18355,Luiz,de Barros
18454,Frank,De Felitta
18473,Fernando (I),de Fuentes
18491,Joseph,De Grasse
18508,Rolf,de Heer
18549,Julián,de la Flor
18554,José Antonio,de la Loma
18582,Robert,De Lacey
18673,William C.,de Mille
18675,Armando,de Miranda
18724,Brian,De Palma
18755,Koen,De Poorter
18818,Jean,de Segonzac
18911,Liesbeth,De Wit
19019,Bruce,Deck
19031,Henri,Decoin
19074,Francisco,Defilippis Novoa
19135,Gene,Deitch
19167,Ubaldo Maria,Del Colle
19202,Roy,Del Ruth
19217,Francisco,del Villar
19256,Pete,DeLasho
19300,Miguel M. (I),Delgado
19404,Joe,DeMaio
19440,Tulio,Demicheli
19443,Cecil B.,DeMille
19455,Ted,Demme
19526,Martin,Denning
19569,Sunny (I),Deol
19581,Hans,Deppe
19603,Miljenko,Dereta
19713,Henri,Desfontaines
19746,Nedeljko,Despotovic
19792,Peter (II),Deutsch
19841,Rocco,Devilliers
19844,David,Devine
19845,Dennis,Devine
19857,Barry,Devlin
19858,Bernard,Devlin
19880,Ajit,Dewani
20081,Marilou,Diaz-Abaya
20112,Ernest R.,Dickerson
20153,Samuel,Diege
20184,Joe,Dietl
20271,Dinos,Dimopoulos
20356,Andreas,Dirr
20407,Ivan,Dixon
20515,Igor,Dobrolyubov
20553,Süha,Dogan
20595,Siko,Dolidze
20610,Pacheco,Domacasse
20708,Vincent J.,Donehue
20752,Clive,Donner
20832,Alon,Dori
20966,Gordon,Douglas
20988,James (I),Douglass
21019,Mikael,Dovlatyan
21025,Sergio,Dow
21042,William C.,Dowlan
21075,B.E.,Doxat-Pratt
21162,Ljubomir,Draskic
21178,Sammy,Drechsel
21215,Sidney,Drew
21325,Jean,Dréville
21350,Anselmo,Duarte
21395,Adam,Dubov
21547,Gregory (II),Duke
21619,William (I),Duncan
21638,Richard,Dunlap
21639,Scott R.,Dunlap
21656,Kevin (III),Dunn
21662,Philip,Dunne
21733,Marguerite,Duras
21780,Süreyya,Duru
21786,Carlos,Durán A.
21788,Fernando (I),Durán Rojas
21820,Félicie,Dutertre
21888,Allan,Dwan
21984,José,Díaz Morales
21989,Daniel,Díaz Torres
22042,Atef,E-Taieb
22072,William P.S.,Earle
22152,Antonio,Eceiza
22275,Harry (I),Edwards
22276,Henry (I),Edwards
22294,Pierre,Edwards
22309,Walter,Edwards
22328,Omiros,Efstratiadis
22444,Oddvar,Einarson
22472,Sergei M.,Eisenstein
22516,Hasse,Ekman
22567,Volker,Elas
22609,Douglas,Elford-Argent
22634,Larry,Elikann
22737,Robert (I),Ellis
22753,Stéphane,Elmadjian
22802,Maurice,Elvey
22817,Lluís,Elías
22857,Roland,Emmerich
22862,E.W.,Emo
22904,Dayyan,Eng
22908,Christer,Engberg
22913,Carl,Engdahl
22976,John (I),English
23011,Ray,Enright
23069,Rob,Epstein
23107,Nuri,Ergün
23164,John,Erman
23186,Rosario,Errico
23194,Chester,Erskine
23203,Muhsin,Ertugrul
23304,Marcelo,Espínola
23348,Constantino,Esteves
23357,Luis,Estrada
23459,Nigel (I),Evans
23504,Semih,Evin
23525,Irad,Eyal
23530,Chris,Eyre
23645,Peter,Faiman
23654,Jerry (I),Fairbanks
23763,Roberto,Fandiño
23790,Pier Luigi,Faraldo
23805,Philip,Farha
23808,Miguel,Faria Jr.
23820,Reginaldo,Farias
23903,Bobby,Farrelly
23904,Peter,Farrelly
23912,John (I),Farrow
23917,Sepideh,Farsi
23984,Hampe,Faustman
24007,Hugh,Fay
24026,Don,Featherstone
24107,Felix E.,Feist
24118,Muharrem,Fejzo
24159,Ben,Feleo
24168,Jorge,Feliú
24240,George,Fenyon
24265,Graeme,Ferguson
24297,Ary,Fernandes
24406,Ramón (I),Fernández
24432,Giuseppe,Ferrara
24474,António (I),Ferreira
24521,Robert A.,Ferretti
24561,Pasquale,Festa Campanile
24576,Louis,Feuillade
24636,Romaine,Fielding
24867,Behnam,Firusmand
24988,Dallas M.,Fitzgerald
25001,Peter (I),Fitzgerald
25012,George,Fitzmaurice
25082,John,Flansburgh
25116,Dave,Fleischer
25148,Walter,Flemmer
25229,Robert,Florey
25290,Stephen Patrick,Foery
25350,Timothy Wayne,Folsome
25377,Angelino,Fons
25391,José María,Font
25451,Aleksander,Ford
25453,Charles E.,Ford
25458,Francis,Ford
25462,Hugh,Ford
25466,John (I),Ford
25489,Carl,Foreman
25517,Michael,Forlong
25572,Bill (I),Forsyth
25639,Giles,Foster
25654,Lewis R.,Foster
25659,Norman (I),Foster
25713,Ronan,Fournier-Christol
25717,Gene,Fowler Jr.
25721,Geneva,Fowler
25762,Stu (II),Fox
25764,Wallace,Fox
25897,Ricardo (I),Franco
25916,Georges,Franju
25942,Melvin,Frank
25979,David N.J.,Franklin
26028,Harry L.,Fraser
26043,James,Frawley
26068,Riccardo,Freda
26124,Marilyn (II),Freeman
26135,Warwick,Freeman
26173,Friz,Freleng
26180,Harold,French
26244,Ilya,Frez
26306,Jeffrey (I),Friedman
26390,Friðrik Þór,Friðriksson
26475,Chaowu,Fu
26535,Toshiya,Fujita
26573,John,Fukushima
26673,Kazuhiro,Furuhashi
26674,Yasuo,Furuhata
26843,Stephen,Gaghan
26901,Miodrag (II),Gajic
26917,Yoram,Gal
26965,Eduard,Galic
26982,Rubén,Galindo
26995,Peque,Gallaga
27003,John A.,Gallagher
27040,Fred,Gallo
27054,Carmine,Gallone
27070,Chad,Galster
27088,Rafael (I),Galán
27112,Yefim,Gamburg
27146,Mogens,Gander
27150,Mohan,Gandhi
27169,Maria Joao,Ganga
27239,Gianna Maria,Garbelli
27354,Gonzalo,García Pelayo
27429,Claudia,Garde
27497,Erast,Garin
27540,Philippe,Garrel
27562,Martín,Garrido
27578,Sergio,Garrone
27617,Roberto,Garzelli
27629,Louis J. (I),Gasnier
27716,Patrice,Gaulupeau
27922,Clarence,Geldart
27951,Klaus,Gendries
28071,Craig,Gerber
28129,Douglas,Gerrard
28132,Peter,Gerretsen
28182,Steve (I),Gethers
28200,Lisa,Gewerth
28204,Raúl,Geynal
28260,Riccardo,Ghione
28286,Partho,Ghosh
28353,Duncan,Gibbins
28379,Brian (I),Gibson
28384,Hoot,Gibson
28466,Carlos,Gil Ferrer
28481,Rafael,Gil
28507,Lewis (II),Gilbert
28519,William,Gilbert
28542,Vlatko,Gilic
28565,Stuart,Gillard
28584,Sidney,Gilliat
28599,Michael,Gillis
28642,Ernesto,Giménez Caballero
28652,Dan,Ginavan
28716,Jacques,Giraldeau
28748,Francis,Girod
28804,Viktor,Gjika
28851,Barry (II),Glasser
28943,Dennis,Glore
28972,Wolfgang,Glück
29002,Jean-Luc,Godard
29013,Jim (I),Goddard
29020,Peter (I),Godfrey
29109,Menahem,Golan
29175,Julian (I),Goldberger
29180,Roger,Goldby
29184,John (II),Golden
29185,Joseph A.,Golden
29218,Yuri,Goldin
29227,Dan (III),Goldman
29251,Rudi,Goldman
29274,Sidney,Goldsmith
29310,Tony,Goldwyn
29458,Mercedes,González del Solar
29615,Nicholas,Goossen
29711,Tom (I),Gordon
29770,Marleen,Gorris
29772,Tamara,Gorski
29805,Bob,Gosse
29844,Max,Gottlieb
29888,Alfred J.,Goulding
29889,Edmund,Goulding
29914,Alberto,Gout
29977,Ángel,Gracia
30175,Richard,Grassick
30228,John (I),Gray
30268,William (I),Greaves
30312,Eitan,Green
30317,Guy,Green
30378,David (I),Greene
30431,William,Grefe
30511,Zlatko,Grgic
30539,Andrew,Grieve
30550,Frank (I),Griffin
30570,D.W.,Griffith
30596,Nene,Grignaffini
30633,Giovanni (I),Grimaldi
30648,Hans,Grimm
30651,Thomas,Grimm
30693,Rajko,Grlic
30873,Ivanka,Grybcheva
30893,Jean,Grémillon
31043,Romolo,Guerrieri
31058,Val,Guest
31120,Laurice,Guillen
31129,Jacques,Guillon
31165,Sacha,Guitry
31275,Ilya,Gurin
31285,Alfredo (I),Gurrola
31373,Paul,Gutrecht
31384,Alice,Guy
31519,Manuel,Gómez Pereira
31560,Ertem,Göreç
31563,Christian,Görlitz
31570,Siggi,Götz
31580,Aram,Gülyüz
31683,Taylor,Hackford
31743,Jeremy,Haft
31801,Larry,Hagman
31814,Manny Nathan,Hahn
31897,Don,Haldane
31947,Alexander (I),Hall
31992,Robert (X),Hall
32086,Jens,Hamann
32106,Peter,Hamel
32128,Hamish (I),Hamilton
32170,Jan,Hammenecker
32217,Dezsö Ákos,Hamza
32246,David,Hand
32287,Susumu,Hani
32318,William (I),Hanna
32322,Jack (I),Hannah
32339,Marcel,Hanoun
32342,Howell,Hansel
32414,Dusan,Hanák
32426,Takahito,Hara
32455,Carl,Harbaugh
32525,Ellin,Hare
32695,Lionel,Harris
32739,George (I),Harrison
32798,Harvey,Hart
32802,Jayasri,Hart
32815,David,Hartford
32830,Karl,Hartl
32913,Herk,Harvey
33021,Günther,Hassert
33053,Henry,Hathaway
33096,Reinhard,Hauff
33099,Ian T.,Haufrect
33115,Joachim,Haupt
33184,Howard,Hawks
33212,Artashes,Hay-Artyan
33244,Sidney,Hayers
33316,Annette,Haywood-Carter
33384,Dave,Heather
33457,Gavin,Heffernan
33466,Thomas N.,Heffron
33473,Jennifer,Heftler
33482,Chris,Hegedus
33514,Heikki,Heikinheimo
33598,Jörg,Helbling
33672,Veit,Helmer
33703,Alexander,Hemming
33713,Joseph,Henabery
33731,Dell,Henderson
33736,Lucius,Henderson
33768,Frank,Henenlotter
33784,Clarence,Hennecke
33794,Amy,Hennig
33812,Paul,Henreid
33819,Finn,Henriksen
33873,Jim (I),Henson
33884,In-mu,Heo
33887,Alp Zeki,Heper
33891,Cecil M.,Hepworth
34010,José María,Hernández Sanjuán
34011,Manuel,Hernández Sanjuán
34089,Rowdy,Herrington
34150,Sig,Herzig
34181,Jon,Hess
34202,Fraser Clarke,Heston
34245,Peter,Hewitt
34246,Rod (II),Hewitt
34250,Russ,Hexter
34271,Laurent,Heynemann
34292,George,Hickenlooper
34306,Howard C.,Hickman
34380,Nazim,Hikmet
34397,Hans-Joachim,Hildebrandt
34419,George Roy,Hill
34455,Robert F.,Hill
34459,Sinclair,Hill
34507,Lambert,Hillyer
34572,Christopher,Hinton
34632,Ray,Hirschman
34655,Leslie S.,Hiscott
34675,Jack,Hively
34735,Richard,Hobert
34739,Gregory,Hoblit
34761,Marijan,Hodak
34777,Mike (I),Hodges
34795,Co,Hoedeman
34827,Ernst,Hofbauer
34836,Michael,Hoffman Jr.
34855,Michael (I),Hoffman
34875,Kurt,Hoffmann
34898,Gerold,Hofmann
34918,James P. (I),Hogan
34939,Horant H.,Hohlfeld
34953,Jay,Holben
34960,Rod,Holcomb
35106,Per (I),Holst
35226,Harry,Hook
35242,Tobe,Hooper
35286,E. Mason,Hopper
35363,Ben,Horowitz
35395,Peter (I),Horton
35406,Louis J.,Horvitz
35462,Arthur,Hotaling
35501,Rosemary,House
35505,Jacques,Houssin
35547,David (I),Howard
35658,V.V. Dachin,Hsu
35740,Faith,Hubley
35801,Ralf,Huettner
35811,John,Hugh
35883,Michael,Hui
36002,Jay (I),Hunt
36021,A.C.,Hunter
36028,Harry C.,Hunter
36087,Michael (I),Hurst
36100,Sam,Hurwitz
36147,John (I),Huston
36162,Charles (I),Hutchison
36202,Andreas,Hvidt
36331,Achim,Hübner
36333,Wolfgang,Hübner
36352,Tony,Ianzelo
36377,Esat,Ibro
36382,Juan (I),Ibáñez
36393,Kon,Ichikawa
36465,Arvo,Iho
36507,Ansa,Ikonen
36514,Rico Maria,Ilarde
36564,Kwon-taek,Im
36591,Markus,Imboden
36606,Türker,Inanoglu
36615,Thomas H.,Ince
36655,Lloyd (I),Ingraham
36660,Rex (II),Ingram
36693,Isshin,Inudou
36768,Michael,Irpino
36817,Robert,Iscove
36932,Juzo,Itami
36958,Eberhard,Itzenplitz
36962,Daisuke,Itô
36975,Branko,Ivanda
37014,Joris,Ivens
37056,Ub,Iwerks
37105,Jacques,Jaccard
37168,Mick,Jackson
37256,Johan,Jacobsen
37415,Alan (I),James
37463,Steve (II),James
37486,Andrea,Janakas
37500,Miroslav,Janek
37510,Hyeon-su,Jang
37512,Il-ho,Jang
37569,Victor,Janson
37631,Clark,Jarrett
37663,Will,Jason
37784,András,Jeles
37785,Milan,Jelic
37867,Torben Skjødt,Jensen
37879,Woo-yeol,Jeon
37881,Chang-hwa,Jeong
37892,So-yeong (I),Jeong
38028,Antulio,Jiménez Pons
38050,Yin,Jin
38075,Keung-ha,Jo
38078,Myeong-hwa,Jo
38085,Phil,Joanou
38217,Eric (VI),Johnson
38242,Jesse E.,Johnson
38275,Nunnally,Johnson
38287,Ron (VII),Johnson
38310,Tom (IV),Johnson
38326,Christian (II),Johnston
38368,Simon,Jollands
38415,Chuck (I),Jones
38447,Harmon,Jones
38544,John,Jopson
38557,Glenn (I),Jordan
38567,Lawrence (II),Jordan
38592,Manoel,Jorge
38634,Alfredo,Joskowicz
38695,Soja,Jovanovic
38746,Mike (I),Judge
38756,Rudolf,Jugert
38774,Rupert,Julian
38809,Kurt,Junek
38811,Cho Sin,Jung
38847,Nathan,Juran
38886,Claude,Jutra
38920,Sidney,Jézéquel
38992,Roman (I),Kachanov
38999,Karel,Kachyna
39015,Matthew,Kadish
39070,Nathaniel,Kahn
39074,Richard C.,Kahn
39160,Toni,Kalem
39164,Kamen,Kalev
39372,Joseph,Kane
39392,Shusuke,Kaneko
39406,Dae-jin,Kang
39693,Phil,Karlson
39742,Abdulla,Karsakbayev
39790,Karl,Kases
39801,Ajay,Kashyap
39825,Christoph,Kasperkovitz
39845,Jeremy,Kasten
40031,Vladimír,Kavciak
40122,Gennadi,Kayumov
40195,Vernon,Keays
40266,Léonard,Keigel
40315,Márton,Keleti
40325,Brad,Keller
40329,Frederick King,Keller
40365,W.P.,Kellino
40398,Justin (II),Kelly
40418,Richard (II),Kelly
40433,Fred,Kelsey
40566,Erle C.,Kenton
40574,Faruk,Kenç
40613,James V.,Kern
40636,Sidonie,Kerr
40753,Rustam,Khamdamov
40943,Edith,Kiel
40956,Jennifer,Kierans
40978,Janusz,Kijowski
41051,Hyo-cheon,Kim
41054,In Soo,Kim
41062,Jeong-jin,Kim
41082,Ki (I),Kim
41083,Ki-duk (I),Kim
41090,Kyeong-hyeong,Kim
41096,Muk,Kim
41097,Mun-ok,Kim
41118,Sung-Hong,Kim
41135,Yeong-hyo,Kim
41142,Yu-min,Kim
41224,Henry (I),King
41227,Jack (I),King
41235,John C.,King
41299,Richard (I),Kinon
41301,Keisuke,Kinoshita
41380,Tim,Kirkman
41455,Ryuhei,Kitamura
41595,Jesper,Klein
41608,Nicolas,Klein
41686,Vanca,Kljakovic
41693,Clemens,Klopfenstein
41781,Derek,Knight
41815,Harley,Knoles
41832,Bernard,Knowles
41864,Roy,Knyrim
41881,Young Nam,Ko
41883,Mikheil,Kobakhidze
41919,Howard W.,Koch
41940,Mark,Kochinski
41962,Jan,Koecher
42047,Takashi (I),Koizumi
42070,Ere,Kokkonen
42133,Sergei,Kolosov
42200,Janusz,Kondratiuk
42249,Sirkka-Liisa,Konttinen
42330,Todd,Korgan
42342,Baltasar,Kormákur
42403,Nadezhda,Kosheverova
42430,Henry,Koster
42454,Shusei,Kotani
42648,Andrzej,Krakowski
42669,Lloyd,Kramer
42833,Josef,Kricenský
42896,Vijaya,Krishnan
42908,Mikael,Kristersson
43021,Jakob,Kryger
43101,Joseph D.,Kucan
43105,George,Kuchar
43106,Mike,Kuchar
43149,Javier,Kuhn
43309,Roger,Kumble
43353,Lincoln,Kupchak
43375,Peter,Kuran
43418,Kiyoshi,Kurosawa
43451,Rudi,Kurz
43517,Yuri,Kuzmenko
43588,Christos,Kyriakopoulos
43602,Zoltán,Kálmánczhelyi
43653,Sándor,Köõ
43664,Harry,Kümel
43682,Paul (I),La Blanc
43694,Jean-Claude,La Marre
43791,Edward,Lachman
43849,Aldo,Lado
43922,Ron,Lagomarsino
43933,Abdelkader,Lagtaa
43985,Aarne,Laine
44091,Carl,Lamac
44168,Ihab,Lamey
44175,Frank,Lammers
44182,Charles,Lamont
44214,Georges,Lampin
44222,Mary,Lampson
44273,Lew,Landers
44304,Paul,Landres
44356,Sidney,Lanfield
44381,Walter (I),Lang
44534,Robert,Lapoujade
44541,Anastasia,Lapsui
44560,Yam,Laranas
44564,Jean-Pierre,Larcher
44567,Brian,Large
44647,Glen A.,Larson
44797,Ricky,Lau
44839,Frank,Launder
44852,Glauco Mirko,Laurelli
44862,Mariano,Laurenti
44880,Lau (I),Lauritzen
44908,Danny,Lavagna
45008,Diarmuid,Lawrence
45024,Ken (II),Lawrence
45077,Pedro (I),Lazaga
45225,Luis,Leal Soto
45259,Nikolai (IV),Lebedev
45282,Raymond,Leboursier
45353,Paul,Leder
45362,D. Ross,Lederman
45391,J.,Lee Thompson
45469,Hyeong-pyo,Lee
45526,Koon Cheung,Lee
45611,Won-se,Lee
45619,Yu-seob,Lee
45684,Stuart,Legg
45737,Markku,Lehmuskallio
45750,Henry,Lehrman
45752,Kai,Lehtinen
45793,Michael W.,Leighton
45875,George (II),LeMaire
45900,Klaus,Lemke
45966,John,Lennon
46004,Umberto,Lenzi
46028,Robert Z.,Leonard
46145,Mervyn,LeRoy
46155,Edward,LeSaint
46229,François,Leterrier
46232,Jørgen,Leth
46236,Roland,Lethem
46310,Joseph,Levering
46396,Abe,Levitow
46403,Kristian,Levring
46462,Scott,Lew
46473,Albert (I),Lewin
46490,Beverly (II),Lewis
46533,Marianne,Lewis
46548,Robert Michael (I),Lewis
