account_id,district_id,frequency,date
10857,50,POPLATEK MESICNE,1996-10-02
1697,63,POPLATEK MESICNE,1997-05-17
35,75,POPLATEK MESICNE,1993-07-07
3748,1,POPLATEK MESICNE,1993-07-10
3347,4,POPLATEK MESICNE,1996-08-19
621,52,POPLATEK MESICNE,1996-06-01
118,68,POPLATEK MESICNE,1997-09-18
3417,48,POPLATEK MESICNE,1995-09-28
8533,47,POPLATEK MESICNE,1995-10-10
2469,11,POPLATEK MESICNE,1996-02-05
190,74,POPLATEK MESICNE,1995-03-02
4134,7,POPLATEK MESICNE,1993-03-03
3377,74,POPLATEK MESICNE,1996-12-02
4480,58,POPLATEK MESICNE,1996-08-19
3644,38,POPLATEK MESICNE,1993-04-13
2516,6,POPLATEK MESICNE,1995-11-16
611,46,POPLATEK MESICNE,1997-07-21
3042,10,POPLATEK MESICNE,1993-09-16
2703,61,POPLATEK MESICNE,1997-10-28
3515,68,POPLATEK MESICNE,1996-06-16
3318,62,POPLATEK MESICNE,1996-06-25
9159,64,POPLATEK MESICNE,1996-08-02
129,74,POPLATEK MESICNE,1997-10-01
6434,1,POPLATEK MESICNE,1995-05-08
3495,54,POPLATEK MESICNE,1996-05-17
2294,46,POPLATEK MESICNE,1996-09-29
2293,31,POPLATEK MESICNE,1993-02-13
1174,70,POPLATEK MESICNE,1995-03-21
2894,17,POPLATEK MESICNE,1993-08-28
4768,39,POPLATEK MESICNE,1996-06-17
1620,17,POPLATEK MESICNE,1995-06-08
1173,11,POPLATEK MESICNE,1996-09-22
3854,8,POPLATEK MESICNE,1996-04-18
4140,28,POPLATEK MESICNE,1997-12-05
3418,42,POPLATEK PO OBRATU,1996-09-02
4725,73,POPLATEK MESICNE,1997-04-14
1044,14,POPLATEK MESICNE,1995-11-09
2600,1,POPLATEK MESICNE,1996-02-13
154,46,POPLATEK MESICNE,1994-06-21
325,75,POPLATEK MESICNE,1996-10-06
186,1,POPLATEK TYDNE,1993-07-29
1922,60,POPLATEK MESICNE,1996-02-09
2620,22,POPLATEK MESICNE,1993-08-03
48,21,POPLATEK MESICNE,1996-11-17
3512,46,POPLATEK MESICNE,1996-05-11
11349,1,POPLATEK TYDNE,1995-05-26
2961,9,POPLATEK MESICNE,1996-07-12
2899,40,POPLATEK MESICNE,1997-04-03
570,3,POPLATEK MESICNE,1996-11-14
650,3,POPLATEK MESICNE,1995-01-28
10451,1,POPLATEK MESICNE,1993-08-29
5541,43,POPLATEK MESICNE,1995-03-24
904,1,POPLATEK MESICNE,1994-03-20
332,36,POPLATEK MESICNE,1996-01-12
3966,42,POPLATEK MESICNE,1996-01-09
1972,77,POPLATEK MESICNE,1993-01-02
3620,14,POPLATEK MESICNE,1997-02-06
159,70,POPLATEK MESICNE,1997-02-11
3517,26,POPLATEK MESICNE,1996-11-22
939,55,POPLATEK MESICNE,1994-10-04
3924,70,POPLATEK MESICNE,1996-02-24
2165,51,POPLATEK MESICNE,1997-04-08
3424,74,POPLATEK MESICNE,1993-02-16
1603,1,POPLATEK MESICNE,1993-05-09
2904,13,POPLATEK MESICNE,1996-03-20
989,19,POPLATEK MESICNE,1994-03-14
2726,18,POPLATEK MESICNE,1995-04-20
1247,25,POPLATEK MESICNE,1993-06-08
3980,75,POPLATEK MESICNE,1993-04-03
1068,52,POPLATEK MESICNE,1997-02-15
1711,63,POPLATEK MESICNE,1996-01-05
10134,22,POPLATEK MESICNE,1997-04-26
4543,33,POPLATEK MESICNE,1993-10-08
2567,17,POPLATEK MESICNE,1996-01-07
3539,42,POPLATEK MESICNE,1994-06-08
2778,38,POPLATEK MESICNE,1993-12-30
3102,33,POPLATEK MESICNE,1997-11-23
827,36,POPLATEK MESICNE,1996-02-23
20,74,POPLATEK MESICNE,1996-08-24
851,15,POPLATEK MESICNE,1994-09-23
3196,1,POPLATEK MESICNE,1993-12-13
564,5,POPLATEK MESICNE,1997-12-23
2892,64,POPLATEK MESICNE,1997-12-16
3850,8,POPLATEK MESICNE,1993-08-09
993,6,POPLATEK MESICNE,1996-11-14
913,59,POPLATEK MESICNE,1996-05-10
1444,70,POPLATEK MESICNE,1996-06-16
3610,1,POPLATEK MESICNE,1997-09-22
511,14,POPLATEK MESICNE,1996-11-10
1655,41,POPLATEK MESICNE,1996-04-15
3300,71,POPLATEK MESICNE,1997-09-19
306,16,POPLATEK MESICNE,1993-06-08
3506,70,POPLATEK MESICNE,1997-05-08
2753,26,POPLATEK MESICNE,1996-02-13
75,1,POPLATEK MESICNE,1995-08-13
3582,19,POPLATEK MESICNE,1995-08-26
8039,9,POPLATEK MESICNE,1995-12-17
2473,14,POPLATEK MESICNE,1996-02-16
839,16,POPLATEK MESICNE,1995-01-17
1695,76,POPLATEK MESICNE,1993-01-03
931,59,POPLATEK MESICNE,1993-10-15
1992,48,POPLATEK MESICNE,1997-09-27
3742,59,POPLATEK MESICNE,1997-05-11
3012,49,POPLATEK MESICNE,1997-04-18
3746,70,POPLATEK MESICNE,1996-06-04
756,65,POPLATEK MESICNE,1995-01-13
3238,47,POPLATEK MESICNE,1996-01-07
65,36,POPLATEK MESICNE,1996-10-29
3878,23,POPLATEK MESICNE,1994-10-07
1680,59,POPLATEK MESICNE,1993-12-10
1360,71,POPLATEK MESICNE,1994-08-14
335,74,POPLATEK MESICNE,1996-01-20
2716,66,POPLATEK MESICNE,1996-01-08
2891,42,POPLATEK MESICNE,1997-05-28
2298,31,POPLATEK MESICNE,1993-07-03
841,1,POPLATEK MESICNE,1993-11-04
4186,1,POPLATEK MESICNE,1996-08-25
950,49,POPLATEK MESICNE,1993-08-26
2439,74,POPLATEK MESICNE,1996-08-13
227,27,POPLATEK MESICNE,1995-03-28
1392,60,POPLATEK MESICNE,1993-04-28
1482,38,POPLATEK MESICNE,1996-12-08
10022,1,POPLATEK MESICNE,1997-05-07
3172,77,POPLATEK MESICNE,1997-05-27
434,1,POPLATEK MESICNE,1996-12-24
3445,1,POPLATEK MESICNE,1994-02-22
2514,16,POPLATEK MESICNE,1995-08-13
209,37,POPLATEK MESICNE,1996-11-24
3183,45,POPLATEK MESICNE,1994-04-01
3777,70,POPLATEK MESICNE,1995-01-19
3041,70,POPLATEK MESICNE,1996-04-04
2510,61,POPLATEK MESICNE,1993-08-28
2300,36,POPLATEK MESICNE,1997-01-13
2104,48,POPLATEK MESICNE,1996-06-12
1810,50,POPLATEK MESICNE,1995-09-03
3926,72,POPLATEK MESICNE,1994-09-11
1469,67,POPLATEK MESICNE,1995-12-15
3635,10,POPLATEK MESICNE,1997-05-04
3715,74,POPLATEK MESICNE,1997-11-27
104,37,POPLATEK MESICNE,1993-04-15
149,43,POPLATEK MESICNE,1997-11-16
1234,6,POPLATEK MESICNE,1993-09-13
6924,74,POPLATEK MESICNE,1994-06-01
2343,68,POPLATEK MESICNE,1994-12-09
1359,8,POPLATEK MESICNE,1993-12-02
4245,52,POPLATEK MESICNE,1994-05-02
1111,5,POPLATEK MESICNE,1996-02-16
790,54,POPLATEK MESICNE,1993-05-11
2658,27,POPLATEK MESICNE,1997-11-14
2441,47,POPLATEK MESICNE,1996-12-22
2989,4,POPLATEK MESICNE,1993-11-28
2235,45,POPLATEK MESICNE,1995-10-22
522,17,POPLATEK MESICNE,1995-12-20
1585,42,POPLATEK MESICNE,1996-02-23
5708,64,POPLATEK TYDNE,1997-10-12
1955,49,POPLATEK MESICNE,1995-01-07
1268,74,POPLATEK MESICNE,1993-07-25
3380,64,POPLATEK MESICNE,1993-12-10
2586,57,POPLATEK MESICNE,1997-04-16
7618,72,POPLATEK TYDNE,1995-06-13
9750,74,POPLATEK MESICNE,1994-05-16
1708,22,POPLATEK MESICNE,1994-11-21
3538,58,POPLATEK MESICNE,1993-08-08
160,23,POPLATEK MESICNE,1993-09-04
2307,60,POPLATEK MESICNE,1995-07-12
3427,36,POPLATEK MESICNE,1996-08-23
1473,39,POPLATEK MESICNE,1996-04-16
5250,8,POPLATEK TYDNE,1996-07-20
479,1,POPLATEK MESICNE,1995-11-05
4448,60,POPLATEK MESICNE,1993-06-02
216,38,POPLATEK MESICNE,1994-05-16
1248,22,POPLATEK MESICNE,1995-04-29
3600,27,POPLATEK MESICNE,1993-08-10
255,68,POPLATEK MESICNE,1996-11-03
1136,12,POPLATEK MESICNE,1993-08-07
1494,1,POPLATEK MESICNE,1997-10-08
4907,42,POPLATEK MESICNE,1994-02-06
676,39,POPLATEK MESICNE,1995-09-22
3463,38,POPLATEK MESICNE,1997-09-21
2302,24,POPLATEK MESICNE,1993-09-10
3276,1,POPLATEK MESICNE,1997-12-29
396,21,POPLATEK MESICNE,1993-03-08
879,9,POPLATEK MESICNE,1997-06-04
2449,23,POPLATEK MESICNE,1997-08-05
3024,1,POPLATEK MESICNE,1996-12-18
6706,38,POPLATEK MESICNE,1996-12-28
407,72,POPLATEK TYDNE,1997-04-18
2831,1,POPLATEK MESICNE,1997-11-10
654,63,POPLATEK MESICNE,1994-10-16
3586,59,POPLATEK MESICNE,1993-03-27
3029,42,POPLATEK MESICNE,1996-12-24
1559,14,POPLATEK MESICNE,1994-10-08
1781,10,POPLATEK MESICNE,1996-06-23
2476,32,POPLATEK MESICNE,1993-12-12
390,44,POPLATEK MESICNE,1996-02-16
1751,53,POPLATEK MESICNE,1996-10-04
1558,32,POPLATEK MESICNE,1996-10-06
4026,58,POPLATEK MESICNE,1997-02-06
9528,19,POPLATEK MESICNE,1996-11-07
2295,57,POPLATEK MESICNE,1996-06-25
5267,4,POPLATEK MESICNE,1996-01-12
2467,33,POPLATEK MESICNE,1993-05-29
2869,68,POPLATEK MESICNE,1996-09-27
759,23,POPLATEK MESICNE,1993-08-01
3673,30,POPLATEK MESICNE,1996-01-12
1087,55,POPLATEK MESICNE,1996-06-26
204,67,POPLATEK MESICNE,1996-01-13
1058,47,POPLATEK MESICNE,1996-06-11
1015,1,POPLATEK MESICNE,1997-06-14
1729,53,POPLATEK MESICNE,1997-09-08
4356,47,POPLATEK MESICNE,1994-01-26
2749,1,POPLATEK MESICNE,1994-05-23
8092,54,POPLATEK MESICNE,1995-01-11
3800,30,POPLATEK MESICNE,1996-09-16
3335,35,POPLATEK MESICNE,1996-02-18
1271,17,POPLATEK MESICNE,1996-06-18
5927,15,POPLATEK MESICNE,1993-11-26
7815,19,POPLATEK TYDNE,1995-04-09
7774,74,POPLATEK PO OBRATU,1993-09-14
1244,68,POPLATEK MESICNE,1996-05-08
73,72,POPLATEK MESICNE,1993-11-08
2135,51,POPLATEK MESICNE,1997-06-17
1289,72,POPLATEK MESICNE,1996-07-07
1024,19,POPLATEK MESICNE,1997-05-02
10670,60,POPLATEK MESICNE,1993-11-18
5120,1,POPLATEK MESICNE,1993-06-21
2271,68,POPLATEK MESICNE,1993-11-13
884,2,POPLATEK MESICNE,1993-12-07
8212,52,POPLATEK PO OBRATU,1993-08-21
177,1,POPLATEK MESICNE,1997-09-26
853,1,POPLATEK MESICNE,1996-03-20
1156,59,POPLATEK MESICNE,1997-12-09
1106,20,POPLATEK TYDNE,1993-08-29
3143,38,POPLATEK MESICNE,1996-10-18
4379,44,POPLATEK MESICNE,1996-06-28
9897,1,POPLATEK MESICNE,1995-03-04
6495,6,POPLATEK MESICNE,1996-07-23
1292,3,POPLATEK MESICNE,1994-09-03
785,21,POPLATEK TYDNE,1997-08-09
2301,22,POPLATEK MESICNE,1995-10-10
3116,54,POPLATEK MESICNE,1996-04-05
2493,62,POPLATEK MESICNE,1993-03-29
85,68,POPLATEK MESICNE,1997-03-23
307,26,POPLATEK MESICNE,1997-08-07
2490,22,POPLATEK MESICNE,1995-02-21
3101,1,POPLATEK MESICNE,1994-02-27
3076,54,POPLATEK MESICNE,1993-03-27
1073,73,POPLATEK MESICNE,1994-02-27
625,70,POPLATEK MESICNE,1995-07-12
3542,49,POPLATEK MESICNE,1993-06-11
556,12,POPLATEK MESICNE,1997-06-26
3110,48,POPLATEK MESICNE,1997-01-12
131,52,POPLATEK MESICNE,1995-06-13
162,60,POPLATEK MESICNE,1993-08-25
3359,8,POPLATEK MESICNE,1996-07-30
2069,72,POPLATEK MESICNE,1997-10-08
3861,2,POPLATEK MESICNE,1997-01-30
2951,44,POPLATEK MESICNE,1993-09-06
2597,31,POPLATEK MESICNE,1997-03-16
9631,11,POPLATEK MESICNE,1996-06-25
2861,38,POPLATEK MESICNE,1993-02-10
1125,1,POPLATEK TYDNE,1997-11-21
3322,65,POPLATEK TYDNE,1996-03-20
846,72,POPLATEK MESICNE,1996-03-09
9,70,POPLATEK MESICNE,1993-01-27
560,36,POPLATEK MESICNE,1995-08-20
3152,1,POPLATEK MESICNE,1993-07-16
1160,39,POPLATEK TYDNE,1996-07-29
1876,1,POPLATEK MESICNE,1997-09-20
1717,67,POPLATEK MESICNE,1997-12-02
1321,60,POPLATEK MESICNE,1997-03-27
2957,25,POPLATEK MESICNE,1995-07-28
3324,3,POPLATEK MESICNE,1997-10-17
2698,49,POPLATEK MESICNE,1997-05-21
3096,68,POPLATEK MESICNE,1993-06-29
3449,1,POPLATEK MESICNE,1995-04-27
1870,10,POPLATEK MESICNE,1994-06-25
1391,15,POPLATEK MESICNE,1996-12-21
326,61,POPLATEK MESICNE,1997-08-06
9828,11,POPLATEK MESICNE,1993-05-20
1037,1,POPLATEK MESICNE,1997-02-18
9377,1,POPLATEK MESICNE,1995-09-17
3134,48,POPLATEK MESICNE,1994-04-29
2842,14,POPLATEK MESICNE,1993-12-29
8772,1,POPLATEK MESICNE,1996-05-16
2645,54,POPLATEK MESICNE,1993-05-22
3177,74,POPLATEK MESICNE,1996-11-12
1683,77,POPLATEK MESICNE,1996-11-01
1578,48,POPLATEK MESICNE,1994-12-01
1370,52,POPLATEK MESICNE,1996-09-25
195,70,POPLATEK MESICNE,1997-02-27
218,68,POPLATEK MESICNE,1996-02-06
430,54,POPLATEK MESICNE,1995-09-02
581,26,POPLATEK MESICNE,1996-10-13
322,1,POPLATEK MESICNE,1993-02-20
1323,43,POPLATEK MESICNE,1996-05-20
179,1,POPLATEK TYDNE,1997-09-22
1293,40,POPLATEK MESICNE,1996-09-03
9859,27,POPLATEK MESICNE,1996-07-08
1967,26,POPLATEK TYDNE,1995-02-13
2334,50,POPLATEK MESICNE,1996-03-19
1771,69,POPLATEK MESICNE,1993-03-28
9337,30,POPLATEK MESICNE,1993-09-13
224,15,POPLATEK MESICNE,1996-10-27
2762,19,POPLATEK MESICNE,1993-03-20
90,1,POPLATEK MESICNE,1994-07-13
830,74,POPLATEK MESICNE,1993-02-08
690,10,POPLATEK MESICNE,1996-07-11
1498,62,POPLATEK TYDNE,1997-02-07
8114,59,POPLATEK MESICNE,1995-10-14
7824,60,POPLATEK MESICNE,1994-05-17
1875,44,POPLATEK MESICNE,1993-08-21
1567,10,POPLATEK MESICNE,1997-08-19
843,6,POPLATEK MESICNE,1997-04-09
191,41,POPLATEK MESICNE,1997-03-17
10710,19,POPLATEK MESICNE,1995-10-30
453,75,POPLATEK MESICNE,1997-04-24
6030,47,POPLATEK MESICNE,1993-08-24
3736,54,POPLATEK MESICNE,1996-05-08
3783,40,POPLATEK MESICNE,1995-11-29
2791,25,POPLATEK MESICNE,1997-12-19
4293,64,POPLATEK PO OBRATU,1996-02-04
199,70,POPLATEK MESICNE,1996-10-26
1648,40,POPLATEK MESICNE,1997-08-08
4150,65,POPLATEK MESICNE,1997-07-05
295,66,POPLATEK MESICNE,1997-11-23
385,5,POPLATEK MESICNE,1993-04-07
2182,22,POPLATEK MESICNE,1997-07-12
286,71,POPLATEK MESICNE,1996-03-27
9790,52,POPLATEK MESICNE,1995-11-09
7401,1,POPLATEK MESICNE,1993-02-26
9140,32,POPLATEK MESICNE,1997-08-18
2010,1,POPLATEK MESICNE,1993-12-27
4585,27,POPLATEK MESICNE,1996-06-08
386,1,POPLATEK MESICNE,1997-08-11
2500,61,POPLATEK MESICNE,1995-10-26
234,73,POPLATEK MESICNE,1993-07-15
2203,47,POPLATEK MESICNE,1995-04-04
3876,69,POPLATEK MESICNE,1994-02-13
2868,1,POPLATEK MESICNE,1994-06-15
1417,75,POPLATEK MESICNE,1994-12-20
484,1,POPLATEK MESICNE,1995-01-20
1969,5,POPLATEK MESICNE,1994-04-02
577,29,POPLATEK MESICNE,1994-09-20
874,56,POPLATEK TYDNE,1996-03-23
623,1,POPLATEK MESICNE,1993-03-24
3834,54,POPLATEK MESICNE,1993-01-19
770,7,POPLATEK MESICNE,1996-09-24
1222,66,POPLATEK MESICNE,1993-01-20
1066,16,POPLATEK TYDNE,1996-09-15
2604,68,POPLATEK MESICNE,1996-07-04
8742,70,POPLATEK MESICNE,1997-01-28
2761,1,POPLATEK MESICNE,1996-12-26
7542,54,POPLATEK MESICNE,1996-05-16
2884,1,POPLATEK MESICNE,1993-02-08
4260,56,POPLATEK MESICNE,1993-10-14
205,1,POPLATEK MESICNE,1997-10-08
2118,42,POPLATEK MESICNE,1997-05-11
1324,42,POPLATEK MESICNE,1996-11-05
331,65,POPLATEK MESICNE,1995-10-02
2314,2,POPLATEK MESICNE,1996-09-07
655,53,POPLATEK MESICNE,1993-03-24
2385,60,POPLATEK MESICNE,1996-11-15
2805,39,POPLATEK MESICNE,1996-05-20
