loan_id,account_id,date,amount,duration,payments,status
5739,3747,1995-01-02,76380,12,6365.0,A
5750,3804,1996-02-08,63252,12,5271.0,A
5754,3834,1994-09-28,23052,12,1921.0,A
5758,3859,1997-05-02,307200,60,5120.0,D
5773,3907,1998-03-16,133848,24,5577.0,C
5790,4033,1997-03-20,84288,48,1756.0,C
5808,4099,1997-07-31,41856,48,872.0,C
5830,4190,1997-08-28,405780,60,6763.0,C
5836,4259,1994-08-27,79632,24,3318.0,A
5837,4260,1994-06-29,244560,60,4076.0,C
5850,4293,1997-05-22,164196,36,4561.0,C
5862,4342,1997-12-09,100128,24,4172.0,C
5865,4354,1998-10-30,327660,60,5461.0,C
5887,4448,1994-10-03,192744,36,5354.0,A
5900,4503,1996-01-01,135360,48,2820.0,C
5923,4585,1996-10-10,64656,48,1347.0,C
5930,4616,1998-01-12,66696,24,2779.0,C
5956,4725,1997-11-04,168264,36,4674.0,C
5970,4774,1995-07-09,465072,48,9689.0,C
5999,4907,1996-01-03,98832,48,2059.0,C
6006,4948,1996-11-15,359760,60,5996.0,C
6011,4981,1996-11-28,179328,48,3736.0,C
6015,5001,1996-11-09,110112,24,4588.0,A
6019,5033,1996-07-25,11400,12,950.0,A
6038,5120,1994-08-10,323472,48,6739.0,A
6054,5180,1998-07-16,58764,12,4897.0,C
6059,5196,1997-12-28,79824,12,6652.0,A
6063,5213,1996-04-25,320976,48,6687.0,D
6066,5228,1994-07-11,173808,24,7242.0,A
6075,5267,1997-11-26,129312,24,5388.0,D
6076,5269,1997-02-02,117420,60,1957.0,C
6097,5362,1997-08-21,202848,48,4226.0,C
6103,5385,1994-04-07,149340,60,2489.0,C
6112,5442,1994-06-17,174744,24,7281.0,B
6120,5481,1994-09-11,209184,48,4358.0,A
6130,5541,1996-07-18,32640,48,680.0,C
6142,5591,1997-01-21,221880,60,3698.0,C
6153,5632,1995-07-25,285600,60,4760.0,C
6185,5774,1995-11-28,31176,24,1299.0,A
6190,5794,1996-05-06,123600,60,2060.0,C
6202,5891,1994-04-18,65184,12,5432.0,A
6210,5927,1994-06-06,87216,48,1817.0,B
6227,6030,1995-03-04,28248,24,1177.0,A
6229,6040,1994-10-02,11736,24,489.0,A
6235,6062,1998-04-19,321360,60,5356.0,C
6239,6083,1997-09-28,360864,48,7518.0,D
6255,6158,1997-02-08,247920,48,5165.0,D
6279,6273,1994-06-07,87360,24,3640.0,A
6283,6289,1996-08-11,85632,48,1784.0,C
6302,6397,1996-09-16,181020,60,3017.0,C
6303,6400,1996-02-12,72408,24,3017.0,B
6309,6434,1996-11-11,110136,24,4589.0,A
6310,6440,1997-06-17,34572,12,2881.0,A
6315,6472,1995-02-06,43164,12,3597.0,A
6320,6495,1998-04-28,104964,12,8747.0,C
6342,6609,1995-11-12,60156,36,1671.0,B
6353,6686,1997-12-25,116496,24,4854.0,C
6355,6699,1997-09-24,127200,48,2650.0,C
6357,6706,1998-07-12,64860,60,1081.0,C
6377,6792,1997-03-17,17184,12,1432.0,A
6402,6922,1998-12-06,139488,24,5812.0,C
6403,6924,1995-12-05,194880,48,4060.0,C
6442,7082,1998-02-08,194160,48,4045.0,C
6461,7136,1996-09-19,74124,36,2059.0,C
6464,7156,1998-04-16,49488,24,2062.0,C
6469,7180,1998-11-17,99744,24,4156.0,C
6486,7240,1998-01-15,152160,60,2536.0,C
6495,7274,1998-03-12,49044,12,4087.0,C
6499,7401,1994-01-05,80952,24,3373.0,A
6508,7437,1998-04-19,110736,48,2307.0,C
6512,7454,1994-05-26,63312,48,1319.0,A
6534,7542,1997-10-19,590820,60,9847.0,C
6544,7594,1997-12-11,130464,48,2718.0,C
6550,7614,1996-05-18,320592,48,6679.0,C
6553,7636,1998-01-26,42384,12,3532.0,C
6569,7721,1998-05-28,45456,12,3788.0,C
6571,7733,1998-05-12,140064,24,5836.0,C
6578,7765,1995-12-11,27984,12,2332.0,A
6589,7815,1996-01-01,189696,24,7904.0,A
6591,7819,1995-02-02,20832,48,434.0,C
6594,7824,1994-09-28,189696,24,7904.0,B
6598,7857,1995-01-18,68112,12,5676.0,A
6599,7859,1996-11-19,72120,12,6010.0,A
6607,7894,1997-10-21,153144,36,4254.0,C
6625,7966,1997-09-07,473280,60,7888.0,D
6641,8026,1997-09-09,128268,36,3563.0,C
6644,8039,1996-10-20,93600,24,3900.0,A
6655,8085,1997-10-17,260400,60,4340.0,D
6659,8092,1996-02-20,56100,60,935.0,C
6665,8114,1997-08-15,99300,60,1655.0,C
6676,8159,1995-06-13,29784,24,1241.0,A
6686,8260,1994-08-25,224604,36,6239.0,A
6695,8320,1997-06-04,309660,60,5161.0,C
6712,8405,1995-10-14,266220,60,4437.0,C
6721,8475,1994-01-21,21072,24,878.0,A
6725,8489,1995-06-23,265320,36,7370.0,A
6729,8519,1994-08-11,74688,12,6224.0,A
6732,8533,1996-09-19,174048,48,3626.0,C
6734,8547,1996-05-30,173016,36,4806.0,C
6751,8680,1996-07-14,85716,36,2381.0,C
6753,8688,1997-03-20,67980,12,5665.0,A
6755,8713,1998-07-24,170700,60,2845.0,C
6758,8742,1997-07-29,33144,12,2762.0,A
6763,8772,1997-06-19,88272,48,1839.0,C
6791,8926,1998-01-23,566640,60,9444.0,C
6816,9017,1996-03-26,100224,48,2088.0,D
6818,9030,1996-12-12,155616,48,3242.0,C
6851,9138,1997-06-03,272220,60,4537.0,D
6852,9140,1998-11-10,16032,48,334.0,C
6855,9153,1998-03-01,52236,36,1451.0,C
6857,9159,1998-06-08,69600,48,1450.0,C
6859,9167,1998-03-07,272220,60,4537.0,C
6861,9179,1998-02-28,215040,60,3584.0,C
6871,9225,1997-04-13,164256,48,3422.0,C
6895,9307,1994-09-19,41904,12,3492.0,A
6903,9337,1994-06-04,52128,24,2172.0,A
6913,9377,1997-04-29,99936,24,4164.0,C
6919,9403,1994-08-05,120888,36,3358.0,A
6923,9433,1998-10-05,44640,24,1860.0,C
6933,9493,1995-09-09,188688,48,3931.0,C
6942,9513,1997-07-16,18324,12,1527.0,A
6944,9548,1996-11-15,46176,48,962.0,C
6956,9631,1997-11-09,59448,24,2477.0,C
6984,9730,1997-08-15,116040,60,1934.0,C
6985,9731,1995-11-22,113796,36,3161.0,A
6986,9750,1995-02-11,151728,48,3161.0,D
6992,9790,1996-07-27,133968,48,2791.0,C
6996,9828,1995-04-13,126600,24,5275.0,A
7001,9859,1997-08-10,300600,60,5010.0,C
7008,9897,1995-09-22,36168,12,3014.0,A
7037,10022,1998-01-03,218064,48,4543.0,C
7046,10049,1997-03-28,91632,12,7636.0,A
7051,10068,1997-07-28,77808,12,6484.0,A
7055,10079,1994-04-06,167100,60,2785.0,C
7061,10105,1994-08-27,121896,24,5079.0,A
7067,10134,1998-01-11,136368,24,5682.0,C
7088,10233,1997-05-03,239160,60,3986.0,C
7091,10243,1998-09-22,113436,36,3151.0,C
7100,10280,1997-12-31,348120,60,5802.0,C
7104,10320,1993-12-13,259740,60,4329.0,A
7119,10361,1997-06-02,86880,12,7240.0,A
7129,10404,1998-03-01,194280,60,3238.0,C
7136,10436,1996-09-28,54396,36,1511.0,C
7142,10451,1994-12-19,482940,60,8049.0,D
7154,10520,1996-12-05,417600,60,6960.0,C
7167,10644,1998-06-18,269964,36,7499.0,C
7200,10799,1998-07-11,31140,60,519.0,C
7201,10807,1997-03-07,67464,12,5622.0,A
7209,10857,1997-11-30,385560,60,6426.0,D
7220,10911,1994-07-28,131292,36,3647.0,A
7235,10973,1993-10-13,154416,48,3217.0,A
7242,11027,1997-10-23,48096,24,2004.0,C
7246,11054,1996-08-20,148920,60,2482.0,C
7253,11079,1997-04-26,98304,12,8192.0,A
7264,11141,1997-10-07,44940,12,3745.0,A
7286,11271,1997-01-31,67320,36,1870.0,C
7294,11327,1998-09-27,39168,24,1632.0,C
7304,11349,1995-10-29,419880,60,6998.0,C
